City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Narberth,"4,314",5,0,1,2,2,25,0,23,2,0
Neshannock Township,"9,319",5,0,0,3,2,39,9,29,1,0
Neville Township,"1,065",1,0,0,0,1,29,1,28,0,0
New Beaver,"1,441",1,0,0,0,1,0,0,0,0,0
New Berlin,866,1,0,0,0,1,3,1,2,0,0
Newberry Township,"15,470",20,0,3,4,13,251,38,203,10,0
New Bethlehem,"2,741",2,0,1,0,1,1,0,1,0,0
New Brighton,"8,991",29,0,3,6,20,393,53,335,5,0
New Castle,"22,211",124,3,6,53,62,676,236,401,39,6
New Castle Township,390,0,0,0,0,0,2,0,2,0,0
New Cumberland,"7,297",3,0,2,0,1,63,6,55,2,0
New Garden Township,"12,113",10,0,0,2,8,88,15,66,7,0
New Hanover Township,"12,814",3,0,0,0,3,53,6,43,4,2
New Holland,"5,439",1,0,0,1,0,80,5,69,6,0
New Hope,"2,507",8,0,1,1,6,29,3,24,2,0
New Sewickley Township,"7,454",3,0,0,1,2,114,23,85,6,0
"Newtown Township, Bucks County","22,914",8,0,2,0,6,183,21,158,4,0
"Newtown Township, Delaware County","12,864",11,0,4,3,4,94,12,78,4,0
New Wilmington,"2,190",1,0,0,0,1,22,0,22,0,0
Norristown,"34,425",148,2,2,83,61,618,95,465,58,0
Northampton,"9,846",7,1,0,1,5,109,12,92,5,1
Northampton Township,"39,559",6,0,1,0,5,222,16,192,14,0
North Beaver,"3,993",0,0,0,0,0,5,1,3,1,0
North Belle Vernon,"1,892",10,0,0,1,9,60,5,52,3,0
North Braddock,"4,773",7,0,0,0,7,7,4,2,1,0
North Catasauqua,"2,824",5,0,1,0,4,40,5,32,3,1
North Cornwall Township,"7,811",19,0,0,2,17,160,10,148,2,0
North Coventry Township,"8,054",2,0,0,0,2,204,22,177,5,2
"Northeast, Bradford County",414,0,0,0,0,0,1,1,0,0,0
"North East, Erie County","4,148",7,0,3,0,4,111,9,99,3,0
Northeastern Regional,"11,655",23,0,5,0,18,133,11,120,2,10
Northern Berks Regional,"13,228",4,0,1,2,1,137,35,93,9,1
Northern Cambria Borough,"3,625",8,0,0,0,8,28,9,18,1,1
Northern Lancaster County Regional,"34,756",7,0,0,1,6,233,30,192,11,0
Northern Regional,"34,787",2,0,0,0,2,194,0,192,2,0
Northern York Regional,"68,894",50,2,3,8,37,737,85,615,37,7
North Franklin Township,"4,601",10,0,2,2,6,131,12,118,1,0
North Hopewell Township,"2,798",2,0,1,0,1,11,2,9,0,0
North Huntingdon Township,"30,787",14,0,4,0,10,541,42,472,27,0
North Lebanon Township,"11,839",15,0,0,3,12,261,32,224,5,0
North Londonderry Township,"8,420",0,0,0,0,0,190,12,178,0,0
North Middleton Township,"11,542",9,0,1,0,8,107,6,100,1,1
North Sewickley Township,"5,513",10,0,0,0,10,66,11,51,4,0
North Strabane Township,"14,523",10,0,1,1,8,127,20,100,7,3
Northumberland,"3,715",1,0,0,0,1,43,8,34,1,0
North Versailles Township,"12,322",41,0,2,6,33,260,25,228,7,1
North Wales,"3,254",8,1,0,0,7,54,7,47,0,0
Northwest Lancaster County Regional,"19,732",7,0,4,1,2,146,0,144,2,0
Norwood,"5,899",6,0,0,2,4,63,4,57,2,0
Oakdale,"1,472",0,0,0,0,0,0,0,0,0,0
Oakland,574,0,0,0,0,0,3,3,0,0,0
Oakmont,"6,472",9,1,2,0,6,90,32,55,3,0
O'Hara Township,"8,591",2,0,0,0,2,34,6,24,4,0
Ohio Township,"6,401",0,0,0,0,0,92,4,88,0,0
Ohioville,"3,461",10,0,0,0,10,19,3,16,0,0
Oil City,"10,057",30,0,4,0,26,164,5,158,1,3
Old Forge,"7,996",13,0,0,5,8,106,21,82,3,0
Old Lycoming Township,"5,059",4,0,0,1,3,123,13,109,1,0
Oley Township,"3,736",2,0,1,0,1,18,4,13,1,0
Orwigsburg,"2,983",5,0,0,0,5,27,1,25,1,0
Otto Eldred Regional,"2,327",0,0,0,0,0,6,0,6,0,0
Oxford,"5,449",20,0,2,2,16,99,15,81,3,0
Palmerton,"5,282",6,0,1,2,3,93,24,68,1,0
Palmer Township,"21,492",26,1,7,4,14,256,30,218,8,0
Palmyra,"7,476",21,1,0,1,19,102,15,83,4,0
Patterson Township,"2,962",2,0,0,1,1,81,14,64,3,0
Patton,"1,665",4,0,0,0,4,7,1,6,0,1
Patton Township,"16,027",4,0,4,0,0,164,14,150,0,0
Penbrook,"2,968",10,0,1,3,6,73,16,52,5,2
Penn,474,3,0,0,0,3,0,0,0,0,0
Penndel,"2,200",3,0,0,0,3,23,2,21,0,0
Penn Hills,"41,841",167,4,17,40,106,926,168,682,76,16
Pennridge Regional,"11,029",9,0,1,0,8,52,6,46,0,0
"Penn Township, Butler County","4,941",3,0,0,0,3,41,6,32,3,0
"Penn Township, Westmoreland County","19,632",24,0,0,2,22,49,6,42,1,0
"Penn Township, York County","16,243",20,0,1,1,18,128,16,108,4,0
Pequea Township,"4,778",7,0,0,0,7,34,14,19,1,0
Perkasie,"8,464",7,2,0,0,5,120,7,112,1,0
Peters Township,"22,274",4,0,0,1,3,156,13,143,0,3
Philadelphia,"1,570,826","15,534",273,"1,259","6,199","7,803","49,334","6,985","36,856","5,493",416
Phoenixville,"16,695",40,0,1,0,39,203,8,187,8,0
Pine Creek Township,"3,302",1,0,0,0,1,9,1,7,1,0
Pitcairn,"3,236",42,0,2,5,35,90,23,65,2,0
