City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Western Berks Regional,"2,549",4,0,1,1,2,14,10,3,1,0
West Fallowfield Township,"2,602",0,0,0,0,0,13,2,11,0,0
West Goshen Township,"23,398",22,0,1,2,19,315,24,282,9,0
West Hempfield Township,"16,538",16,0,2,2,12,139,13,122,4,4
West Hills Regional,"10,302",11,0,0,1,10,95,19,72,4,0
West Homestead,"1,917",8,0,1,1,6,30,1,29,0,0
West Kittanning,"1,126",1,0,0,0,1,1,1,0,0,0
West Lebanon Township,805,2,0,0,1,1,63,6,57,0,0
West Leechburg,"1,260",0,0,0,0,0,4,0,4,0,0
West Manchester Township,"18,880",40,3,3,13,21,626,44,572,10,0
West Manheim Township,"8,371",5,0,2,0,3,123,7,113,3,0
West Mead Township,"5,121",5,0,0,0,5,57,8,48,1,0
West Mifflin,"20,028",24,0,2,4,18,180,13,158,9,0
West Newton,"2,527",9,0,4,0,5,42,2,38,2,0
West Norriton Township,"15,799",24,0,1,4,19,328,35,280,13,0
West Nottingham Township,"2,703",0,0,0,0,0,0,0,0,0,0
West Penn Township,"4,327",0,0,0,0,0,13,6,7,0,0
West Pittston,"4,753",16,0,0,1,15,72,5,63,4,0
West Pottsgrove Township,"3,885",6,0,0,4,2,128,8,115,5,0
West Reading,"4,186",15,0,2,4,9,173,14,151,8,0
West Sadsbury Township,"2,481",3,0,0,1,2,95,5,89,1,0
West Salem Township,"3,463",18,0,1,0,17,63,12,48,3,1
West Shore Regional,"7,734",8,0,0,6,2,44,8,31,5,0
Westtown-East Goshen Regional,"32,687",35,0,6,1,28,264,16,238,10,0
West View,"6,668",11,0,1,0,10,114,9,105,0,0
West Vincent Township,"5,133",0,0,0,0,0,18,3,14,1,0
Whitaker Borough,"1,250",2,0,1,0,1,22,4,18,0,0
Whitehall,"13,812",7,0,1,2,4,62,16,45,1,2
Whitehall Township,"27,426",28,1,1,17,9,"1,098",60,"1,009",29,4
Whitemarsh Township,"17,721",6,0,1,0,5,240,24,196,20,0
White Oak,"7,758",8,0,1,4,3,129,12,107,10,0
Whitpain Township,"19,237",15,0,0,2,13,153,24,118,11,0
Wilkes-Barre Township,"2,921",16,0,1,6,9,668,18,649,1,0
Wilkinsburg,"15,692",167,2,3,60,102,532,168,304,60,9
Wilkins Township,"6,283",7,0,3,0,4,165,15,138,12,0
Williamsburg,"1,216",0,0,0,0,0,5,0,4,1,0
Williamsport,"29,163",104,5,8,39,52,792,101,668,23,2
Wilson,"7,758",53,0,7,11,35,296,49,240,7,2
Windber,"3,938",23,0,0,3,20,26,3,22,1,1
Womelsdorf,"2,860",2,0,1,0,1,19,5,13,1,0
Worthington,609,0,0,0,0,0,0,0,0,0,0
Wright Township,"5,659",0,0,0,0,0,53,4,46,3,0
Wyoming,"3,038",5,0,1,2,2,118,13,100,5,0
Wyomissing,"10,473",9,0,1,2,6,378,14,361,3,1
Yardley,"2,442",17,0,0,0,17,28,3,24,1,0
Yeadon,"11,537",40,3,0,17,20,337,48,265,24,0
York,"44,017",416,8,12,208,188,"1,408",298,917,193,11
York Area Regional,"55,292",67,1,13,6,47,465,78,371,16,2
Youngsville,"1,653",1,0,0,0,1,13,3,10,0,0
