zip_code,zipcode_type,radius_in_miles,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
85008,Standard,3,5364,10.47,0.05,23282,19676,109100,32109
20163,PO Box,,,,,,,,
20103,Unique,,,,,,,,
80018,Standard,5,347,26.54,0,3263,3080,259500,95843
20147,Standard,5,2721,19.87,0.32,19719,19046,444000,122115
20107,Standard,,,,,,,,
20109,Standard,5,1819,20.49,0.18,13584,12852,230000,65017
80031,Standard,3,4026,8.43,0.05,13594,13116,225900,70536
15005,Standard,5,601,15.72,0.27,4168,3995,147300,62584
50009,Standard,5,641,25.16,0.02,6319,6050,157700,64798
80026,Standard,5,1184,22.29,0.46,10796,10383,273400,71117
80012,Standard,2,6010,7.76,0,19634,18115,163300,40989
85010,PO Box,,,,,,,,
50041,PO Box,0.681818182,216,0.43,0,54,46,52100,43571
20115,Standard,13,61,95.2,0.45,2522,2242,405700,70845
50044,Standard,7,19,45.74,0.01,403,355,91000,47411
50008,Standard,12,10,84.87,0.31,429,368,55200,37091
50005,Standard,6,27,26.78,0.1,318,299,85300,49239
20136,Standard,5,1943,14.67,0.25,8483,8294,374300,128444
85068,PO Box,,,,,,,,
80042,PO Box,,,,,,,,
85041,Standard,4,3462,15.87,0.04,17226,15395,107900,42204
50037,PO Box,,,,,,,,
15034,Standard,1,1851,0.97,0.09,1000,892,64700,41786
20148,Standard,4,1739,16.28,0.62,9170,8806,536000,161433
50039,Standard,4,14,23.41,0.01,159,145,161900,66914
20105,Standard,7,305,37.13,0.37,3855,3682,448000,127464
85051,Standard,2,6392,6.32,0.05,16525,14174,108000,38415
80108,Standard,7,636,35.58,0,8497,8018,477200,120159
80034,PO Box,,,,,,,,
85043,Standard,3,1593,19.18,0,9443,8240,99900,40584
85021,Standard,2,5612,6.73,0.03,17619,15001,188200,38130
15027,Standard,1,1529,1.44,0.18,1053,985,121100,42742
80001,PO Box,,,,,,,,
20119,Standard,9,62,63.86,0.42,1515,1399,341500,111339
15015,Standard,0.965909091,1256,0.94,0,499,476,271300,106875
15046,Standard,2,1259,2.1,0.21,1131,1067,124200,56071
50027,Standard,6,10,27.92,0.23,151,138,84500,37500
85077,Unique,,,,,,,,
85003,Standard,3,5061,1.85,0,4910,3900,260500,36390
15004,PO Box,0.170454545,1120,0.31,0,153,140,88400,37284
20137,Standard,4,88,17.21,0.08,580,546,371800,108333
85025,Standard,,,,,,,,
15033,Standard,2,2203,2.23,0.15,2771,2153,55700,31107
80102,Standard,26,19,296.98,1.64,2084,1937,244300,62723
85078,PO Box,,,,,,,,
15031,Standard,1,1101,0.47,0,247,223,95300,50259
80037,PO Box,,,,,,,,
20160,PO Box,,,,,,,,
80004,Standard,3,4870,7.37,0.15,15158,14555,243200,67830
20110,Standard,3,3475,12.63,0.07,14714,14053,253500,75584
80038,PO Box,,,,,,,,
20134,PO Box,,,,,,,,
85015,Standard,2,7709,4.88,0.01,16495,13420,113400,30753
85069,PO Box,,,,,,,,
20146,PO Box,,,,,,,,
85007,Standard,3,3110,4.51,0.07,5916,4811,194200,28125
50006,Standard,13,14,122.63,0.05,761,696,80600,49146
50001,Standard,5,28,23.99,0.26,289,252,157000,46908
20156,PO Box,,,,,,,,
85071,PO Box,,,,,,,,
50028,Standard,6,38,44.35,0.03,689,653,117700,58214
50026,Standard,7,11,55.16,0,285,246,61300,34063
50023,Standard,5,1264,22.14,0.03,10847,10289,179500,76270
20112,Standard,6,661,39.1,0.53,8448,8169,421200,139902
15052,Standard,4,200,17.44,0.07,1507,1409,102000,53333
20144,Standard,7,25,40.21,0.17,496,403,795100,115667
15059,Standard,5,298,14.08,0.58,2096,1813,81200,35707
20142,PO Box,,,,,,,,
,,,,,,,,,
85033,Standard,2,8700,6.1,0.01,16046,13573,70700,33821
20117,Standard,7,60,44.74,0.5,1469,1168,539500,103214
80041,PO Box,,,,,,,,
85055,Standard,,,,,,,,
80011,Standard,5,1925,24.65,0.07,17531,16223,130600,40748
50011,Unique,0.965909091,28779,0.05,0,1,1,,
50059,Standard,,,,,,,,
